Trait	Fraction of Phenotypic Variance Explained	Chromosome	Peak Position (bp)	LOD	1.5 LOD Confidence Interval (Left) (bp)	1.5 LOD Confidence Interval (Right) (bp)	Genes Under Confidence Interval (Common Name)	Genes Under Confidence Interval (Standard Name)
Lithium_Chloride	0.016	12	874811	11.43	870166	883249	VID22|NA|STP3|PSY3|FBP1|NA|SEC61|NA|CSR1|CTF3|NAM2	YLR373C|YLR374C|YLR375W|YLR376C|YLR377C|tK(UUU)L|YLR378C|YLR379W|YLR380W|YLR381W|YLR382C
Lithium_Chloride	0.036	13	144507	25.3	84178	146198	UTP14|PRE8|RPM2|NA|NA|UFO1|AIM33|ALO1|TUB1|NA|NA|NA|ATP18|NA|DUS1|NA|CPR3|BET5|WAR1|HMG1|FPR3|RPL6A|TCB3|COG8|NA|NA|DAK1|POB3|ITT1|ERV41|SMA2|ORC1|TEM1	YML093W|YML092C|YML091C|YML090W|YML089C|YML088W|YML087C|YML086C|YML085C|YML084W|YML083C|YML082W|YML081C-A|YML081W|YML080W|YML079W|YML078W|YML077W|YML076C|YML075C|YML074C|YML073C|YML072C|YML071C|tR(UCU)M2|YMLCdelta1|YML070W|YML069W|YML068W|YML067C|YML066C|YML065W|YML064C
Lithium_Chloride	0.013	13	297131	9.52	281871	314770	PLB1|ADI1|NA|HXT2|NA|NA|CLU1|SEC59|NA|SNR78|SNR77|SNR76|SNR75|SNR74|SNR73|NA|SNR72|BUD22|ERG5|SOK2|SPO20|NA|STB4	YMR008C|YMR009W|YMR010W|YMR011W|YMRCtau1|tE(UUC)M|YMR012W|YMR013C|YMR013C-A|snR78|snR77|snR76|snR75|snR74|snR73|YMR013W-A|snR72|YMR014W|YMR015C|YMR016C|YMR017W|YMR018W|YMR019W
Lithium_Chloride	0.007	13	715097	5.06	659141	724433	VTI1|CIK1|CLN1|ROT1|RAD14|RNA170|ERG2|TOM40|INP1|PFK2|NA|HFA1|ERG12|NA|NA|DML1|EFR3|CEF1|SCJ1|GAS3|SKY1|GUA1|TRS130|ESC1|ERG8|NA|FSH2|UBP8|MRE11|MRPL44|NA|TAF7	YMR197C|YMR198W|YMR199W|YMR200W|YMR201C|RNA170|YMR202W|YMR203W|YMR204C|YMR205C|YMR206W|YMR207C|YMR208W|YMR209C|YMR210W|YMR211W|YMR212C|YMR213W|YMR214W|YMR215W|YMR216C|YMR217W|YMR218C|YMR219W|YMR220W|YMR221C|YMR222C|YMR223W|YMR224C|YMR225C|YMR226C|YMR227C
Lithium_Chloride	0.009	13	812177	6.57	774680	830234	HOR7|NA|NA|NA|GFD1|COX7|PET111|NA|NA|TIF11|TPS3|NA|SAP30|CUE1|NA|RSN1|PPA2|PRP24|TMA23|RRN9|URA10|CDC65|NA|NA|SCS7|NA|NA|ZDS1|RCE1|BUL1|DSK2|FCP1|PGM3|NA|CAT8	YMR251W-A|YMR252C|YMR253C|YMR254C|YMR255W|YMR256C|YMR257C|YMR258C|YMR259C|YMR260C|YMR261C|YMR262W|YMR263W|YMR264W|YMR265C|YMR266W|YMR267W|YMR268C|YMR269W|YMR270C|YMR271C|tQ(CUG)M|YMRCtau3|YMRWdelta20|YMR272C|YMR272W-A|YMR272W-B|YMR273C|YMR274C|YMR275C|YMR276W|YMR277W|YMR278W|YMR279C|YMR280C
Lithium_Chloride	0.008	14	329214	6.37	314887	350503	APC1|NA|NA|PSD1|FMP41|SKO1|BNI5|NA|IBD2|RIA1|NA|RPL42A|CBK1|YGP1|ASI2|PGA1|IGO1|NSG2|NA|YCK2|GIM3|INN1|RPC31|NA|PGA2|ALF1	YNL172W|YNL171C|YNL170W|YNL169C|YNL168C|YNL167C|YNL166C|YNL165W|YNL164C|YNL163C|YNL162W-A|YNL162W|YNL161W|YNL160W|YNL159C|YNL158W|YNL157W|YNL156C|YNL155W|YNL154C|YNL153C|YNL152W|YNL151C|YNL150W|YNL149C|YNL148C
Lithium_Chloride	0.123	15	150111	77.09	147687	152922	MSH2|HAL9	YOL090W|YOL089C
Lithium_Chloride	0.022	15	605281	15.49	602946	633454	ELG1|PNO1|NA|MDM32|SPP2|SMP3|MRPL23|RPB2|NA|PDR5|SLP1|ISN1|NFI1|PUP1|PET123|SME1	YOR144C|YOR145C|YOR146W|YOR147W|YOR148C|YOR149C|YOR150W|YOR151C|YOR152C|YOR153W|YOR154W|YOR155C|YOR156C|YOR157C|YOR158W|YOR159C
Lithium_Chloride	0.008	15	930115	5.49	906470	992005	COT1|NA|FAA1|NA|HSH49|GNT1|PMT3|LDB19|PRO2|FRT1|NA|MYO2|SNC2|PDR10|SCD5|NA|MIP1|NA|VMA4|NA|MRS2|ALA1|NA|KRE5|TEA1|NA|UBC11|RPA43|RPA190|NA|NA|NA|NA|NA|NA|NA|NA|NA|EMT2|TYE7|NA|NA|NA|REV1|PYK2|PUT4|CIN1	YOR316C|YOR316C-A|YOR317W|YOR318C|YOR319W|YOR320C|YOR321W|YOR322C|YOR323C|YOR324C|YOR325W|YOR326W|YOR327C|YOR328W|YOR329C|YOR329W-A|YOR330C|YOR331C|YOR332W|YOR333C|YOR334W|YOR335C|YOR335W-A|YOR336W|YOR337W|YOR338W|YOR339C|YOR340C|YOR341W|YOR342C|YOR343C|YORWsigma4|YORWdelta22|YORWTy2-2|YORWdelta23|YOR343W-A|YOR343W-B|YORWdelta24|tM(CAU)O2|YOR344C|YORCdelta25|tP(UGG)O3|YOR345C|YOR346W|YOR347C|YOR348C|YOR349W
Lithium_Chloride	0.005	16	170235	4.12	159408	199137	RKM1|TYW1|PGC1|NA|HRR25|TPK2|AFT2|YIG1|CSM4|NA|RPL7B|SNR59|NA|OXR1|APL5|DDC1|RSA1|PRM3|NA|NAB3|COA2|GUP2|POS5|MF(ALPHA)1|UIP4|NA|MRN1|RTC6	YPL208W|YPL207W|YPL206C|YPL205C|YPL204W|YPL203W|YPL202C|YPL201C|YPL200W|YPL199C|YPL198W|snR59|YPL197C|YPL196W|YPL195W|YPL194W|YPL193W|YPL192C|YPL191C|YPL190C|YPL189C-A|YPL189W|YPL188W|YPL187W|YPL186C|YPL185W|YPL184C|YPL183W-A
Lithium_Chloride	0.007	16	455513	5.31	434610	530804	NA|NA|NA|NA|NA|NA|NA|NA|NA|GRX5|PDR12|SUR1|LCL1|LGE1|LEE1|KTR6|OAZ1|ARL3|MNN9|DIG1|CAM1|SGF11|ELC1|VPS16|NA|NOP4|SSN3|NA|ISM1|NA|NA|MET31|EGD1|PMA2|NA|NA|SRL4|SVL3|PHO85|TRM44|SUV3|ERG10|SMA1|SKS1|NA|RMI1|MET12|RAD1|ECM23|ULP1|VTC3|CTF19|IRC15|SWI1|HST2|NA|MRPS16|RRP12	YPL060W|tC(GCA)P1|YPLWdelta9|YPLCdelta10|YPLWdelta11|YPLCTy4-1|YPLCtau1|YPL060C-A|YPLCtau2|YPL059W|YPL058C|YPL057C|YPL056C|YPL055C|YPL054W|YPL053C|YPL052W|YPL051W|YPL050C|YPL049C|YPL048W|YPL047W|YPL046C|YPL045W|YPL044C|YPL043W|YPL042C|YPL041C|YPL040C|YPL039W|YPL038W-A|YPL038W|YPL037C|YPL036W|YPL035C|YPL034W|YPL033C|YPL032C|YPL031C|YPL030W|YPL029W|YPL028W|YPL027W|YPL026C|YPL025C|YPL024W|YPL023C|YPL022W|YPL021W|YPL020C|YPL019C|YPL018W|YPL017C|YPL016W|YPL015C|YPL014W|YPL013C|YPL012W
Magnesium_Chloride	0.013	1	55146	4.1	37977	64484	CNE1|NA|GPB2|PEX22|ACS1|FLC2|OAF1|AIM2|GEM1|NA|SPC72|AIM1|NA|NA|GCV3|PTA1|NA|ERV46|CDC24	YAL058W|YAL056C-A|YAL056W|YAL055W|YAL054C|YAL053W|YAL051W|YAL049C|YAL048C|YAL047W-A|YAL047C|YAL046C|YAL045C|YAL044W-A|YAL044C|YAL043C|YAL042C-A|YAL042W|YAL041W
Magnesium_Chloride	0.009	4	462095	2.9	398521	1058176	PRP9|ARP2|MPS1|NA|NA|RTK1|NA|DIA3|NA|NA|NA|GPD1|GPM2|RPN4|OSH2|ERP3|CDC7|NA|TSC13|NOP1|SLX5|NA|NA|GRX6|NA|APC11|NA|NA|NA|NA|NA|RPT2|PTC1|MED2|ATP16|MCD1|NHP10|RMD1|CEN4|NTH1|YRB1|RCR2|NA|RAD57|MAF1|SOK1|TRP1|NA|GAL3|NA|SNQ2|RPL4B|PSF1|RAD61|HED1|NA|DAD1|KCS1|NA|GCV1|DAS2|FAL1|CIS1|NA|SES1|FYV1|RPS11A|NA|VPS54|REG1|NA|RAD28|MIC14|PST2|MRH1|LYS14|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|ARO3|EHD3|KRS1|ENA5|ENA2|ENA1|RSM10|NA|SNR47|NRG1|HEM13|RPC11|BAP3|HEM12|NA|NA|TPI1|DET1|DBF4|NA|CDC34|PST1|NA|YOS9|TGL2|NA|NA|UBC5|MAK21|NA|LCB2|AIM7|RPS13|RRG1|RTR2|OCA6|DOS2|DOA4|FMP16|PAA1|IPT1|SNF11|TPS2|PPH3|RAD55|SED1|SHU2|PET100|TFB5|VPS41|PDC2|STN1|RRP8|TVP23|AFR1|SSS1|RRP1|SLU7|NA|NA|NA|RLI1|UBC13|DNF2|NA|NA|GIS1|MSH6|GRX3|NA|NA|NA|NA|NA|NA|NA|NA|BMH2|TVP15|ARX1|NA|STE5|SPO71|TMS1|ARP10|NA|NA|NA|TMN2|GSG1|NA|FOB1|ALT2|IRC2|PDS1|NA|NA|MRPL1|TMA64|APC4|NA|VBA4|NA|TRM1|DPB4|KIN1|INO2|NA|ECM18|SWF1|ARO1|MTC5|SAC6|FIN1|NA|NA|NA|NA|YCF1|VPS61|RGP1|HPR1|RUB1|MTQ2|DOP1|PEX7|SAN1|MKC7|TAF12|SWI5|EKI1|KGD2|NA|NUM1|CTH1|GIR2|ENT5|NA|CPR1|RPA14|NA|HOM2|SAC3|SSY1|NA|NBP2|CWC15|SEC1|TRM82|SEC5|TAF10|CDC37|STB3|NA|SEC7|NA|NA|NA|HSP42|SUP35|ARG82|HMO1|RSM24|NGG1|UBC1|SDH4|CSN9|NA|SCC2|SAS4|CDC1|NA|PLP1|NA|ATC1|UPS3|NA|NA|CCT6|SLY1|RVB1|HST4|NUP42|NA|MSS116|NA|REF2|CAB5|CBS2|RKM2|NA|VPS64|SPC19|RAV2|NA|COQ4|MSC2|EBS1|UME6|MSS4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|GCD6|TCP1|UPC2|AHA1|NA|ADR1|RAD9|SPR28|MFB1|NA|GTB1|NA|CRF1|HTB1|HTA1|ADK1|SIR4|PCF11|IVY1|NA|COX20|HEM1|RTN1|LYS4|PRP42|FMN1|MRPL7|SEC26|NA|SNU56|BUD26|NA|NA|SUP2|AMD2|PRP28|PEX5|MNN10|TRS23|NA|VHS1|NA|NA|NA|PAM1|BTT1|MET32|CHL4|RMD5|CTA1|RKM4|HSP78|YAP6|SWM1|EXG2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|DIN7|AKR1|PEX10|NA|CIA1|MSW1|NA|CCC2|NA|GLO2|DON1|NA|BSC2|PMP3|MTH1|NA|NA|RNH202|RRP45|PHM6|NA|NA|GCN2|DPP1|ZIP1|NA|INM2|NSE3|RTT103|NA|HRQ1|SRP101|SSD1|DPL1|HDA2|MHR1|SUR2|ATP5	YDL030W|YDL029W|YDL028C|YDL027C|YDL026W|YDL025C|YDL025W-A|YDL024C|YDL022C-A|tA(AGC)D|YDL023C|YDL022W|YDL021W|YDL020C|YDL019C|YDL018C|YDL017W|YDL016C|YDL015C|YDL014W|YDL013W|YDL012C|YDL011C|YDL010W|YDL009C|YDL008W|tT(AGU)D|YDLCdelta1|YDL007C-A|YDLWtau1|tS(AGA)D1|YDL007W|YDL006W|YDL005C|YDL004W|YDL003W|YDL002C|YDL001W|CEN4|YDR001C|YDR002W|YDR003W|YDR003W-A|YDR004W|YDR005C|YDR006C|YDR007W|YDR008C|YDR009W|YDR010C|YDR011W|YDR012W|YDR013W|YDR014W|YDR014W-A|YDR015C|YDR016C|YDR017C|YDR018C|YDR019C|YDR020C|YDR021W|YDR022C|tV(UAC)D|YDR023W|YDR024W|YDR025W|YDR026C|YDR027C|YDR028C|YDR029W|YDR030C|YDR031W|YDR032C|YDR033W|YDR034C|YDRCdelta2|YDRCdelta3|YDRCTy2-1|YDRCdelta4|YDR034C-D|YDR034C-C|YDRCdelta5|tL(UAA)D|YDRCdelta6a|YDRWdelta7|YDR034C-A|YDRCdelta6b|tQ(UUG)D1|YDR034W-B|YDR035W|YDR036C|YDR037W|YDR038C|YDR039C|YDR040C|YDR041W|YDR042C|snR47|YDR043C|YDR044W|YDR045C|YDR046C|YDR047W|YDR048C|YDR049W|YDR050C|YDR051C|YDR052C|YDR053W|YDR054C|YDR055W|YDR056C|YDR057W|YDR058C|tR(UCU)D|tD(GUC)D|YDR059C|YDR060W|YDR061W|YDR062W|YDR063W|YDR064W|YDR065W|YDR066C|YDR067C|YDR068W|YDR069C|YDR070C|YDR071C|YDR072C|YDR073W|YDR074W|YDR075W|YDR076W|YDR077W|YDR078C|YDR079W|YDR079C-A|YDR080W|YDR081C|YDR082W|YDR083W|YDR084C|YDR085C|YDR086C|YDR087C|YDR088C|tR(ACG)D|YDR089W|YDR090C|YDR091C|YDR092W|YDR093W|YDR094W|YDR095C|YDR096W|YDR097C|YDR098C|tQ(UUG)D2|YDRCTy1-1|YDRCdelta7|YDR098C-B|YDR098C-A|YDRCdelta8|YDRCsigma1|YDRCdelta9|YDR099W|YDR100W|YDR101C|YDR102C|YDR103W|YDR104C|YDR105C|YDR106W|tI(AAU)D|YDRWsigma2|YDRWdelta10|YDR107C|YDR108W|YDR109C|YDR110W|YDR111C|YDR112W|YDR113C|YDR114C|YDR115W|YDR116C|YDR117C|YDR118W|YDR118W-A|YDR119W|YDR119W-A|YDR120C|YDR121W|YDR122W|YDR123C|YDR124W|YDR125C|YDR126W|YDR127W|YDR128W|YDR129C|YDR130C|YDR131C|YDR132C|YDR133C|YDR134C|YDR135C|YDR136C|YDR137W|YDR138W|YDR139C|YDR140W|YDR141C|YDR142C|YDR143C|YDR144C|YDR145W|YDR146C|YDR147W|YDR148C|YDR149C|YDR150W|YDR151C|YDR152W|YDR153C|YDR154C|YDR155C|YDR156W|YDR157W|YDR158W|YDR159W|YDR160W|YDR161W|YDR162C|YDR163W|YDR164C|YDR165W|YDR166C|YDR167W|YDR168W|YDR169C|YDR169C-A|YDR170C|tQ(UUG)D3|YDRWdelta11|YDR170W-A|YDR171W|YDR172W|YDR173C|YDR174W|YDR175C|YDR176W|YDR177W|YDR178W|YDR179C|YDR179W-A|YDR180W|YDR181C|YDR182W|YDR182W-A|YDR183W|YDR183C-A|YDR184C|YDR185C|YDR186C|YDR187C|YDR188W|YDR189W|YDR190C|YDR191W|YDR192C|YDR193W|YDR194C|YDR194W-A|YDR195W|YDR196C|YDR197W|YDR198C|YDR199W|YDR200C|YDR201W|YDR202C|YDR203W|YDR204W|YDR205W|YDR206W|YDR207C|YDR208W|YDR209C|YDR210W|YDRWTy2-2|YDRWdelta13|YDR210W-A|YDR210W-B|YDRWdelta14|YDRCTy1-2|YDR210C-D|YDR210C-C|tI(UAU)D|YDR211W|YDR212W|YDR213W|YDR214W|YDR215C|YDR216W|YDR217C|YDR218C|YDR219C|YDR220C|YDR221W|YDR222W|YDR223W|YDR224C|YDR225W|YDR226W|YDR227W|YDR228C|YDR229W|YDR230W|YDR231C|YDR232W|YDR233C|YDR234W|YDR235W|YDR236C|YDR237W|YDR238C|YDR239C|YDR240C|YDR241W|YDRWdelta12|YDRCsigma3|tY(GUA)D|YDR242W|YDR243C|YDR244W|YDR245W|YDR246W|YDR246W-A|YDR247W|YDR248C|YDR249C|YDR250C|YDR251W|YDR252W|YDR253C|YDR254W|YDR255C|YDR256C|YDR257C|YDR258C|YDR259C|YDR260C|YDR261C|tS(AGA)D2|YDRWTy2-3|YDRWdelta19|YDR261W-A|YDR261W-B|YDRWdelta20|YDRCTy1-3|YDRCdelta21|YDR261C-D|YDR261C-C|YDRCdelta22|YDRCsigma4|tG(GCC)D2|YDR262W|YDR263C|YDR264C|YDR265W|YDR266C|YDR267C|YDR268W|YDR269C|YDR270W|YDR271C|YDR272W|YDR273W|YDR274C|YDR275W|YDR276C|YDR277C|YDR278C|tE(CUC)D|YDR279W|YDR280W|YDR281C|YDRWsigma5|YDR282C|YDR283C|YDR284C|YDR285W|YDR286C|YDR287W|YDR288W|YDR289C|YDR290W|YDR291W|YDR292C|YDR293C|YDR294C|YDR295C|YDR296W|YDR297W|YDR298C
Magnesium_Chloride	0.009	5	302653	2.83	283422	312673	"NA|ICL1|NA|SUP19|RRT13|NA|RGI1|NA|MOT2|NA|ARG5,6|RNR1|NA|VTC1|ALD5|RPS24A|YOS1|PTP3|NA|NA|NA"	YER064C|YER065C|YERCdelta10|tS(UGA)E|YER066W|YER066C-A|YER067W|YER067C-A|YER068W|YER068C-A|YER069W|YER070W|YER071C|YER072W|YER073W|YER074W|YER074W-A|YER075C|tA(UGC)E|YERWdelta11|YER076C
Magnesium_Chloride	0.093	14	376315	25.38	371959	381891	FPR1|NA|FYV6|NA|KRE33|TOM22|CPT1|DGR1|NRK1	YNL135C|YNL134C|YNL133C|tF(GAA)N|YNL132W|YNL131W|YNL130C|YNL130C-A|YNL129W
Magnesium_Chloride	0.022	14	493334	6.47	487819	503521	MLF3|MSK1|RNH201|LAT1|TOM7|RPL16B|FKH2|NA|NA|RPL9B|SUN4	YNL074C|YNL073W|YNL072W|YNL071W|YNL070W|YNL069C|YNL068C|YNL067W-A|YNL067W-B|YNL067W|YNL066W
Magnesium_Chloride	0.025	15	30484	6.94	30484	45491	HPF1|ZPS1|NA|FRE7|GRE2|NA|DCP1	YOL155C|YOL154W|YOL153C|YOL152W|YOL151W|YOL150C|YOL149W
Magnesium_Chloride	0.055	15	173814	14.79	155221	185473	NA|NA|ADH1|NA|NA|PHM7|ATG34|NA|ATG19|IRA2|REX4|NA|AVO1|ATP19	YOL087C|YOL086W-A|YOL086C|YOL085W-A|YOL085C|YOL084W|YOL083W|YOL083C-A|YOL082W|YOL081W|YOL080C|YOL079W|YOL078W|YOL077W-A
Magnesium_Chloride	0.031	15	552422	9.29	463242	593588	SUF11|NA|SGO1|CDC21|NA|UFE1|SKI7|RTS2|BUD21|ATX2|DIA2|TGL5|NA|WHI5|LPX1|OST3|TCB1|NA|YVC1|VPS21|PTC5|TMA46|ECM3|NA|ARF3|RKI1|RPS7A|NA|NUP1|KTR1|CRC1|RAS1|NA|OST2|PIN2|NA|VAM3|RGS2|LEU9|NA|INP53|TFC7|NA|CEX1|AZF1|NA|TRS33|RPO31|RPT5|RTC5|RIO1|GCY1|NA|PFY1|LEO1|UBP2|CAT5|IAH1|RGA1|ADE2|AFI1|ORT1|NA|NA|VPS17|EFT1|BAG7|IRC14|IDH2|SIA1|RUP1|NA|SFL1|ARP8|LSC1	tP(UGG)O2|YOR072W-B|YOR073W|YOR074C|YOR073W-A|YOR075W|YOR076C|YOR077W|YOR078W|YOR079C|YOR080W|YOR081C|YOR082C|YOR083W|YOR084W|YOR085W|YOR086C|tN(GUU)O2|YOR087W|YOR089C|YOR090C|YOR091W|YOR092W|YOR093C|YOR094W|YOR095C|YOR096W|YOR097C|YOR098C|YOR099W|YOR100C|YOR101W|YOR102W|YOR103C|YOR104W|YOR105W|YOR106W|YOR107W|YOR108W|YOR108C-A|YOR109W|YOR110W|YOR111W|YOR112W|YOR113W|YOR114W|YOR115C|YOR116C|YOR117W|YOR118W|YOR119C|YOR120W|YOR121C|YOR122C|YOR123C|YOR124C|YOR125C|YOR126C|YOR127W|YOR128C|YOR129C|YOR130C|tD(GUC)O|YOR131C|YOR132W|YOR133W|YOR134W|YOR135C|YOR136W|YOR137C|YOR138C|YOR139C|YOR140W|YOR141C|YOR142W
Magnesium_Chloride	0.01	16	472107	3.22	445297	500681	PDR12|SUR1|LCL1|LGE1|LEE1|KTR6|OAZ1|ARL3|MNN9|DIG1|CAM1|SGF11|ELC1|VPS16|NA|NOP4|SSN3|NA|ISM1|NA|NA|MET31|EGD1|PMA2|NA|NA|SRL4|SVL3|PHO85|TRM44|SUV3|ERG10|SMA1|SKS1	YPL058C|YPL057C|YPL056C|YPL055C|YPL054W|YPL053C|YPL052W|YPL051W|YPL050C|YPL049C|YPL048W|YPL047W|YPL046C|YPL045W|YPL044C|YPL043W|YPL042C|YPL041C|YPL040C|YPL039W|YPL038W-A|YPL038W|YPL037C|YPL036W|YPL035C|YPL034W|YPL033C|YPL032C|YPL031C|YPL030W|YPL029W|YPL028W|YPL027W|YPL026C
Manganese_Sulfate	0.02	2	468560	7.88	454581	498342	AIM3|CMD1|NA|ALG1|YSA1|SUS1|CYC8|NA|RAD16|LYS2|NA|TKL2|TEF2|MUD1|CBP6|GRS1|NA|MRPL36|TFC1|NA|PTC4|TPS1|NA|NA|VMA2|ATG14|OPY1|SHE3|CCZ1|NA	YBR108W|YBR109C|YBR109W-A|YBR110W|YBR111C|YBR111W-A|YBR112C|YBR113W|YBR114W|YBR115C|YBR116C|YBR117C|YBR118W|YBR119W|YBR120C|YBR121C|YBR121C-A|YBR122C|YBR123C|YBR124W|YBR125C|YBR126C|YBR126W-A|YBR126W-B|YBR127C|YBR128C|YBR129C|YBR130C|YBR131W|YBR131C-A
